expression,reading,meaning,tags
踏む,ふむ,"to step on, to tread on",n4
～区,く," district,  ward,  borough",n4
盗む,ぬすむ,to steal to rob,n4
大抵,たいてい,"generally, usually",n4
鳴る,なる,"to sound, to ring vi",n4
生きる,いきる,to live,n4
苦い,にがい,bitter,n4
沸く,わく,"to boil, to grow hot",n4
意見,いけん,"opinion, view, idea",n4
漫画,まんが,"comic book, cartoon",n4
医学,いがく,medical science,n4
～月,つき,month,n4
折る,おる,"to snap, to break to bend",n4
～会,かい, meeting,n4
聞こえる,きこえる,"to be heard, to be audible",n4
僕,ぼく,I used by men towards those of equal or lower status,n4
必ず,かならず,"surely, certainly",n4
壊す,こわす,"to break, to break down",n4
怒る,おこる,to get angry to scold angrily,n4
床屋,とこや,barber's shop,n4
運動,うんどうする,exercise,n4
止む,やむ,"to cease, to stop",n4
表,おもて,surface front outside,n4
大学生,だいがくせい,"college student, university student",n4
運転手,うんてんしゅ,driver by occupation,n4
予習,よしゅう,preparation of lessons for class,n4
心配,しんぱいする,"worry, concern",n4
別,べつ,"distinction, different",n4
非常に,ひじょうに,extremely very,n4
お宅,おたく,someone else's house home  polite word for 家 いえ ,n4
柔らかい,やわらかい,"soft in reference to texture, tender",n4
拾う,ひろう,"to pick up something, to find",n4
気,き,"spirit, mood",n4
比べる,くらべる,to compare,n4
郊外,こうがい,"suburb, outskirts",n4
売り場,うりば,place where things are sold,n4
正月,しょうがつ,"New Year, New Year's Day",n4
規則,きそく,"rule, regulation",n4
発音,はつおん,pronunciation,n4
焼く,やく,"to bake, to grill",n4
屋上,おくじょう,rooftop,n4
失礼,しつれい,"discourtesy, impoliteness Excuse me",n4
点,てん,"mark, score, grade point, dot",n4
一生懸命,いっしょうけんめい,"very hard as in ""to work hard"", with utmost effort",n4
今度,こんど,"now, this time, near future, one of these days, next time",n4
機会,きかい,"chance, opportunity",n4
建てる,たてる,to build,n4
複雑,ふくざつ,"complexity, complication",n4
彼,かれ,"he, boyfriend",n4
布団,ふとん,futon,n4
大事,だいじ,"important, valuable, serious matter",n4
贈り物,おくりもの,a gift a present,n4
泥棒,どろぼう,thief burglar,n4
～製,せい,made in ,n4
注意,ちゅうい,"caution, attention",n4
台風,たいふう,typhoon,n4
日,ひ,"sun, sunshine, day",n4
～軒,けん,counter for houses,n4
通る,とおる,"to pass by, to go through",n4
過ぎる,すぎる,"to exceed, to go beyond",n4
葉,は,leaf,n4
必要,ひつよう,necessary,n4
課長,かちょう,section manager,n4
地震,じしん,earthquake,n4
止める,やめる,"to end, to stop",n4
～学部,がくぶ,department of a university,n4
厳しい,きびしい,hard rigorous strict,n4
人口,じんこう,population,n4
月,つき,moon,n4
絹,きぬ,silk,n4
深い,ふかい,"deep, profound",n4
壊れる,こわれる,"to be broken, to break",n4
揺れる,ゆれる,"to shake, to sway",n4
落る,おちる,"to fall, to drop",n4
悲しい,かなしい,"sad, sorrowful",n4
中学校,ちゅうがっこう,junior high school pupil,n4
祈る,いのる,to pray to wish,n4
盛ん,さかん,"prosperous, active, thriving",n4
起こす,おこす,to wake someone up,n4
致す,いたす, extramodest expression for する ,n4
噛む,かむ,"to bite, to chew",n4
赤ちゃん,あかちゃん,"baby, infant",n4
浅い,あさい,"shallow, superficial",n4
嘘,うそ,lie,n4
小説,しょうせつ,novel,n4
親,おや,a parent,n4
西洋,せいよう,"the West, Western countries",n4
思う,おもう,"to think, to feel",n4
時代,じだい,"age, period, epoch, era",n4
申し上げる,もうしあげる,"humbleto say, to tell",n4
～式,しき, ceremony  style,n4
出席,しゅっせきする,attendance,n4
～家,か,person who is specialized in ,n4
迎える,むかえる,to welcome to meet to greet,n4
触る,さわる,"to touch, to feel",n4
建て,だて," storied, separate housing",n4
社長,しゃちょう,president of a company,n4
動物園,どうぶつえん,zoo,n4
捕まえる,つかまえる,"to catch, to arrest",n4
季節,きせつ,season in reference to weather,n4
寄る,よる,to stop by,n4
決まる,きまる,to be set fixed vi,n4
開く,ひらく,to open to hold an event,n4
逃げる,にげる,"to escape, to run away",n4
残念,ざんねん,regret regrettable,n4
畳,たたみ,tatami mat Japanese straw mat,n4
丁寧,ていねい,"polite, courteous, careful",n4
地理,ちり,geography,n4
怖い,こわい,"scary, frightening",n4
包む,つつむ,"to wrap, to cover",n4
無理,むり,"unreasonable, impossible",n4
会議室,かいぎしつ,conference room,n4
品物,しなもの,goods,n4
人形,にんぎょう,"doll, figure",n4
利用,りよう,"use, utilization",n4
飾る,かざる,"to decorate, to adorn",n4
恥ずかしい,はずかしい,"ashamed, embarrassed",n4
用事,ようじ,business to take care of tasks errands,n4
頑張る,がんばる,"to try one's best, to try hard, to persist",n4
投げる,なげる,"to pitch, to cast away",n4
故障,こしょうする,breakdown,n4
力,ちから,"strength, power",n4
受ける,うける,"to take an examination, interview, etc to receive",n4
気分,きぶん,"feeling, mood",n4
間違える,まちがえる,to make a mistake,n4
星,ほし,star,n4
場合,ばあい,"case, situation",n4
足りる,たりる,to be sufficient to be enough,n4
行う,おこなう,to carry out to conduct typically used in written language,n4
無くなる,なくなる,"to disappear, to get lost",n4
準備,じゅんびする,prepare,n4
世界,せかい,world,n4
住所,じゅうしょ,address place of residence,n4
再来月,さらいげつ,the month after next,n4
林,はやし,"woods, forest",n4
倍,ばい,double,n4
痩せる,やせる,to lose weight,n4
線,せん,"line, wire",n4
戦争,せんそう,war,n4
決める,きめる,to decide vt,n4
調べる,しらべる,to check to look up to inquire to search,n4
寝坊,ねぼう,sleeping in late,n4
光る,ひかる,"to shine, to glitter",n4
夫,おっと,husband,n4
雲,くも,cloud,n4
坂,さか,"slope, hill",n4
飛行場,ひこうじょう,airport,n4
柔道,じゅうどう,judo,n4
決して,けっして,never,n4
事務所,じむしょ,office,n4
連絡,れんらく,"communication, contact, connection",n4
小学校,しょうがっこう,elementary school,n4
客,きゃく,"guest, customer",n4
昔,むかし,old days past,n4
美しい,うつくしい,"beautiful, lovely",n4
捨てる,すてる,"throw away trash, dump, discard",n4
事,こと,"things, matters, fact",n4
試合,しあい,"match, game, competition",n4
適当,てきとう,"fitness, suitability",n4
素晴らしい,すばらしい,wonderful terrific,n4
美術館,びじゅつかん,"art gallery, art museum",n4
文法,ぶんぽう,grammar,n4
終わり,おわり,end,n4
壁,かべ,wall,n4
一度,いちど,"once, one time",n4
お礼,おれい,expression of gratitude thanking gift of appreciation bow,n4
親切,しんせつ,kindness,n4
知らせる,しらせる,to notify,n4
歯医者,はいしゃ,dentist,n4
熱心,ねっしん,enthusiasm,n4
始める,はじめる,"to start, to begin",n4
泣く,なく,to cry,n4
治る,なおる,to get better to recover from illness vi,n4
熱,ねつ,"fever, temperature",n4
お祭り,おまつり,festival,n4
水道,すいどう,"water service, water line",n4
匂い,におい,"odor, smell",n4
赤ん坊,あかんぼう,baby,n4
事故,じこ,accident,n4
変,へん,"strange, odd",n4
辞典,じてん,"encyclopedia, reference book",n4
残る,のこる,"to remain vi, to be left",n4
立てる,たてる,"to stand something up, to erect something",n4
～員,いん,member of ,n4
原因,げんいん,"cause, origin, source",n4
驚く,おどろく,"to be surprised, to be astonished",n4
祖母,そぼ,grandmother,n4
場所,ばしょ,"place, location",n4
答,こたえ,"answer, response",n4
漬ける,つける,"to soak, to moisten, to pickle",n4
受付,うけつけ,receptionist desk,n4
内,うち,"within, inside",n4
増える,ふえる,"to increase, to multiply",n4
以下,いか,"less than, below",n4
選ぶ,えらぶ,to choose to select,n4
心,こころ,"heart, mind",n4
届ける,とどける,to deliver vt,n4
挨拶,あいさつする,greeting,n4
景色,けしき,"scenery, landscape",n4
確か,たしか,"if I remember correctly certain, definite",n4
食料品,しょくりょうひん,"foodstuff, groceries",n4
森,もり,forest,n4
以内,いない,"within, less no more than",n4
予定,よてい,"plans, arrangement, schedule",n4
乾く,かわく,to get dry,n4
石,いし,stone,n4
思い出す,おもいだす,"to recall, to remember",n4
踊る,おどる,to dance,n4
細かい,こまかい,"small fine, minute",n4
塗る,ぬる,"to paint, to plaster",n4
ご主人,ごしゅじん,"your, her husband",n4
珍しい,めずらしい,"unusual, rare",n4
用,よう,"errand, task, business to take care of",n4
公務員,こうむいん,"government worker, public servant",n4
お嬢さん,おじょうさん,someone's daughter polite,n4
用意,ようい,preparation,n4
探す,さがす,"to search, to seek, to look for",n4
形,かたち,shape,n4
運転,うんてんする,driving,n4
お土産,おみやげ,souvenir,n4
消しゴム,けしゴム,eraser,n4
旅館,りょかん,a Japanese inn,n4
海岸,かいがん,"coast, seashore",n4
寂しい,さびしい,"lonely, lonesome",n4
火,ひ,fire,n4
育てる,そだてる,to raise vt to bring up,n4
味噌,みそ,"miso, bean paste",n4
お祝い,おいわい,"congratulation, celebration",n4
乗り物,のりもの,vehicle,n4
案内,あんないする,"information, guidance",n4
通う,かよう,to go back and forth to commute,n4
連れる,つれる,"to lead, to take a person",n4
技術,ぎじゅつ,"technique, technology, skill",n4
小鳥,ことり,small bird,n4
下宿,げしゅく,"lodging, boarding house",n4
招待,しょうたいする,invitation,n4
鏡,かがみ,mirror,n4
法律,ほうりつ,law,n4
進む,すすむ,"to advance, to proceed",n4
楽む,たのしむ,to enjoy,n4
貿易,ぼうえき,trade,n4
反対,はんたい,"oppose, opposition, resistance",n4
申す,もうす, extramodest humble expression for 言う いう ,n4
試験,しけん,an exam,n4
真面目,まじめ,"diligent, serious",n4
店員,てんいん,clerk shopemployee,n4
泊まる,とまる,to stay over night vi,n4
今夜,こんや,"this evening, tonight",n4
会話,かいわ,conversation,n4
空気,くうき,"air, atmosphere",n4
交通,こうつう,"traffic, transportation",n4
喜ぶ,よろこぶ,"to rejoice, to be delighted, to be glad",n4
急行,きゅうこう,express train or bus,n4
皆,みな,everyone,n4
味,あじ,"flavor, taste",n4
空港,くうこう,airport,n4
手袋,てぶくろ,gloves,n4
校長,こうちょう,"principal, headmaster",n4
踊り,おどり,dance,n4
興味,きょうみ,interest in something,n4
引っ越す,ひっこす,to move to a new place of residence,n4
冷房,れいぼう,"cooling, air conditioning",n4
都合,つごう,"circumstances, convenience",n4
遠慮,えんりょする,"restraint, reserve, hesitate",n4
亡くなる,なくなる,to pass away,n4
科学,かがく,science,n4
差し上げる,さしあげる, humble expression for あげる ,n4
気持ち,きもち,"feeling, sensation, mood",n4
祖父,そふ,grandfather,n4
港,みなと,"harbor, port",n4
予約,よやく,reservation,n4
凄い,すごい,"terrific, great",n4
入学,にゅうがくする,entry to school or university,n4
片付ける,かたづける,"to clean tidy up vt, to put away",n4
写す,うつす,to copy vt to photograph,n4
部長,ぶちょう,department division manager,n4
火事,かじ,fire,n4
足す,たす,to add numbers,n4
教会,きょうかい,church,n4
彼ら,かれら,they usually male,n4
一杯,いっぱい,"full, to the utmost",n4
男性,だんせい,man male,n4
理由,りゆう,reason,n4
生産,せいさんする,production to produce,n4
着物,きもの,kimono Japanese traditional dress,n4
暮れる,くれる,"to get dark, to come to an end",n4
釣る,つる,to fish,n4
打つ,うつ,"to hit, to strike",n4
謝る,あやまる,to apologize,n4
昼間,ひるま,"daytime, during the day",n4
教育,きょういく,education,n4
女性,じょせい,woman,n4
米,こめ,uncooked rice,n4
邪魔,じゃま,"hindrance, intrusion",n4
国際,こくさい,international,n4
隅,すみ,corner,n4
伺う,うかがう,"humble form of 行く いく, 聞く きく and 来る くる",n4
再来週,さらいしゅう,the week after next,n4
夢,ゆめ,a dream,n4
喉,のど,throat,n4
最近,さいきん,"recently, nowadays, in recent years, most recent, latest",n4
周り,まわり,surroundings,n4
歴史,れきし,history,n4
不便,ふべん,inconvenience,n4
血,ち,blood,n4
～続ける,つづける,to continue doing ,n4
毛,け,"hair, fur",n4
例えば,たとえば,"for example, eg",n4
中々,なかなか,"very, considerably, quite",n4
随分,ずいぶん,extremely,n4
押し入れ,おしいれ,closet,n4
電灯,でんとう,electric light,n4
叱る,しかる,to scold,n4
変える,かえる,"to change, to alter, to vary",n4
講堂,こうどう,auditorium,n4
子,こ,child,n4
沸かす,わかす,to boil,n4
特に,とくに,particularly,n4
空く,あく,"to open, to become empty vacant",n4
計画,けいかくする,"plan, project, schedule",n4
通り,とおり," Street,  Avenue",n4
下着,したぎ,underwear,n4
経済,けいざい,"economics, finance, economy",n4
是非,ぜひ,"certainly, by all means without fail",n4
裏,うら,"reverse side, back",n4
為,ため,"good, advantage, in order to",n4
変わる,かわる,"to change vi, to be transformed, to vary",n4
以外,いがい,"other than, with the exception of, excepting",n4
済む,すむ,"to finish, to end",n4
市,し,city,n4
引き出し,ひきだし,drawer,n4
遊び,あそび,play,n4
支度,したくする,preparation,n4
～始める,はじめる,to start doing ,n4
見える,みえる,to be visible  polite verb meaning 来る くる ,n4
十分,じゅうぶん,enough,n4
音,おと,"sound, note",n4
遠く,とおく,"far away, distant",n4
大体,だいたい,approximately in most cases in general to begin with same as もともと,n4
折れる,おれる,"to break, to be folded, to give in to turn a corner",n4
正しい,ただしい,correct,n4
輸入,ゆにゅう,import,n4
返事,へんじ,"reply, answer",n4
都,と,metropolitan,n4
産業,さんぎょう,industry,n4
伝える,つたえる,"to convey a message to tell, to report",n4
お金持ち,かねもち おかねもち,rich person,n4
説明,せつめい,explanation,n4
島,しま,island,n4
道具,どうぐ,tool,n4
滑る,すべる,"to slide, to slip",n4
以上,いじょう,more than this is all,n4
特急,とっきゅう,limited express train faster than an express,n4
妻,つま,wife humble,n4
帰り,かえり,"return, coming back",n4
具合,ぐあい,"condition, state, health",n4
堅; 硬; 固い,かたい,"solid, hard, firm",n4
駐車場,ちゅうしゃじょう,parking lot,n4
危険,きけん,"danger, risk, hazard",n4
髪,かみ,hair,n4
天気予報,てんきよほう,weather forecast,n4
彼女,かのじょ,girlfriend she,n4
間,あいだ,"space, interval",n4
卒業,そつぎょう,graduation,n4
枝,えだ,"branch, twig",n4
専門,せんもん,major speciality,n4
送る,おくる,"to send, to dispatch",n4
騒ぐ,さわぐ,"to make noise, to clamor",n4
尋ねる,たずねる,to inquire same as 質問する,n4
放送,ほうそうする,broadcasting,n4
政治,せいじ,politics,n4
市民,しみん,citizen,n4
負ける,まける,"to lose a game vi, to be defeated",n4
指輪,ゆびわ,finger ring,n4
田舎,いなか,"rural, countryside",n4
見つける,みつける,"to discover, to find vt",n4
高校生,こうこうせい,high school student,n4
講義,こうぎ,a lecture,n4
昼休み,ひるやすみ,"lunch break, noon recess",n4
忘れ物,わすれもの,"lost article, something forgotten",n4
下りる,おりる,"to get down, to go come down",n4
腕,うで,arm in reference to body,n4
訳,わけ,reason explanation,n4
承知,しょうちする,"consent, acceptance",n4
日記,にっき,"diary, journal",n4
高校; 高等学校,こうこう こうとうがっこう,high school senior high school,n4
似る,にる,"to resemble, to be similar",n4
暖房,だんぼう,heating,n4
留守,るす,absence not at home,n4
割合,わりあい,"rate, ratio, percentage",n4
寺,てら,Buddhist temple,n4
慣れる,なれる,to grow accustomed to,n4
普通,ふつう,common usual,n4
手伝う,てつだう,to help,n4
息子,むすこ,humble son,n4
お子さん,おこさん,someone else's child polite,n4
会場,かいじょう,"venue, meeting place",n4
笑う,わらう,"to laugh, to smile",n4
運ぶ,はこぶ,"to transport, to carry",n4
文学,ぶんがく,literature,n4
光,ひかり,light,n4
お見舞い,おみまい,"calling on someone who is ill, visit",n4
席,せき,a seat,n4
～様,さま,"Mr, Mrs, Ms",n4
ご存じ,ごぞんじ,"knowing, acquaintance",n4
