expression,reading,meaning,tags
会う,あう,"to meet, to see",n5
青,あお,blue,n5
青い,あおい,blue,n5
赤,あか,red,n5
赤い,あかい,red,n5
明るい,あかるい,bright in reference to personality or weather cheerful,n5
秋,あき,fall season,n5
開く,あく,"to open, to become open",n5
開ける,あける,to open vt,n5
上げる,あげる,"to raise, to lift",n5
朝,あさ,morning,n5
朝御飯,あさごはん,breakfast,n5
明後日,あさって,day after tomorrow,n5
足; 脚,あし,foot leg,n5
明日,あした,tomorrow,n5
遊ぶ,あそぶ,to play to spend time pleasantly to hang out,n5
暖かい,あたたかい,warm,n5
頭,あたま,head,n5
新しい,あたらしい,new,n5
暑い,あつい,"hot in reference to weather, warm",n5
熱い,あつい,hot objects,n5
厚い,あつい,"kind, warmhearted, thick, deep",n5
後,あと,afterwards later in the future the rest since then,n5
兄,あに,my older brother humble,n5
姉,あね,my older sister humble,n5
浴びる,あびる,"to bathe, to shower",n5
危ない,あぶない,"dangerous, critical",n5
甘い,あまい,"generous, sweet",n5
余り,あまり,not very surplus,n5
雨,あめ,rain,n5
飴,あめ,hard candy,n5
洗う,あらう,to wash,n5
在る,ある,"to be, to have",n5
有る,ある,"to be, to have",n5
歩く,あるく,to walk,n5
言う,いう,to say,n5
家,いえ,"house, home",n5
行く,いく ゆく,to go,n5
池,いけ,pond,n5
医者,いしゃ,doctor physician,n5
椅子,いす,chair,n5
忙しい,いそがしい,"busy people, days",n5
痛い,いたい,hurt painful sore,n5
一,いち,one,n5
一日,いちにち,one day duration,n5
一番,いちばん,"best most, first, number one",n5
五日,いつか,five days fifth day of the month,n5
一緒,いっしょ,together,n5
五つ,いつつ,five things,n5
犬,いぬ,dog,n5
今,いま,now,n5
意味,いみ,"meaning, significance",n5
妹,いもうと,younger sister humble,n5
嫌,いや,"disagreeable, detestable, unpleasant",n5
入口,いりぐち,entrance,n5
居る,いる,"humble to be animate, to exist",n5
要る,いる,to need,n5
入れる,いれる,to put in,n5
色,いろ,color,n5
色々,いろいろ,various,n5
上,うえ,"above up, top, etc, over, on top of",n5
後ろ,うしろ,"back, behind, rear",n5
薄い,うすい,"thin, weak",n5
歌,うた,a song,n5
歌う,うたう,to sing,n5
生まれる,うまれる,to be born,n5
海,うみ,"sea, beach",n5
売る,うる,to sell vt,n5
上着,うわぎ,"coat, jacket",n5
絵,え,a painting a picture a drawing,n5
映画,えいが,"movie, film",n5
映画館,えいがかん,"movie theater, cinema",n5
英語,えいご,English language,n5
駅,えき,station,n5
～円,えん,Yen,n5
鉛筆,えんぴつ,pencil,n5
美味しい,おいしい,"delicious, tasty",n5
多い,おおい,many there are a lot,n5
大きい,おおきい,"big, large",n5
大きな,おおきな,big,n5
大勢,おおぜい,great number of people,n5
お母さん,おかあさん,mother formal,n5
お菓子,おかし,"confections, sweets, snack",n5
お金,おかね,money,n5
起きる,おきる,"to get up eg, from sleeping to happen",n5
置く,おく,to put to lay to place,n5
奥さん,おくさん,someone else's wife hon,n5
お酒,おさけ,sake alcohol,n5
お皿,おさら,"plate, dish",n5
伯父; 叔父さん,おじさん,"uncle, middleaged man",n5
教える,おしえる,"to teach, to inform, to instruct",n5
押す,おす,"to push, to press, to stamp eg, a passport",n5
遅い,おそい,slow to be late,n5
お茶,おちゃ,green tea,n5
お手洗い,おてあらい,"toilet, restroom, bathroom lit, a place to wash one's hands",n5
お父さん,おとうさん,father formal,n5
弟,おとうと,younger brother,n5
男,おとこ,"man, male",n5
男の子,おとこのこ,boy,n5
一昨日,おととい,the day before yesterday,n5
大人,おとな,adult,n5
お腹,おなか,stomach,n5
同じ,おなじ,"same, identical",n5
お兄さん,おにいさん,someone else's older brother formal,n5
お姉さん,おねえさん,older sister formal,n5
伯母さん; 叔母さん,おばさん,aunt,n5
お風呂,おふろ,a bath,n5
お弁当,おべんとう,a boxed lunch,n5
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",n5
重い,おもい,heavy serious,n5
面白い,おもしろい,"interesting, amusing",n5
泳ぐ,およぐ,to swim,n5
降りる,おりる,to get off,n5
終る,おわる,"to finish, to close",n5
音楽,おんがく,Music,n5
女,おんな,"woman, female",n5
女の子,おんなのこ,girl,n5
～回,かい,counter for occurrences  times,n5
～階,かい,counter for stories floors of a building,n5
外国,がいこく,foreign country abroad,n5
外国人,がいこくじん,foreigner,n5
会社,かいしゃ,"company, corporation",n5
階段,かいだん,stairs,n5
買い物,かいもの,shopping,n5
買う,かう,to buy,n5
返す,かえす,to return something,n5
帰る,かえる,"to go back, to go home, to return",n5
顔,かお,face body part,n5
鍵,かぎ,a lock a key,n5
書く,かく,to write,n5
学生,がくせい,student,n5
～か月,かげつ,number of months,n5
掛ける,かける,"to put on eg, glasses to hang eg, on a wall",n5
傘,かさ,"umbrella, parasol",n5
貸す,かす,to lend,n5
風,かぜ,"wind, breeze",n5
風邪,かぜ,"cold, flu",n5
方,かた, honorific form for 人 ひと  way of doing,n5
家族,かぞく,"family, members of a family",n5
片仮名,かたかな,katakana,n5
～月,がつ,month of year,n5
学校,がっこう,a school,n5
家庭,かてい,home family,n5
角,かど,"corner eg, desk, pavement",n5
花瓶,かびん,flower vase,n5
紙,かみ,paper,n5
火曜日,かようび,Tuesday,n5
辛い,からい,hot and spicy salty,n5
体,からだ,body health,n5
借りる,かりる,"to borrow, to owe",n5
軽い,かるい,"light, nonserious, minor",n5
川; 河,かわ,river,n5
～側,がわ, side,n5
可愛い,かわいい,"cute, adorable",n5
漢字,かんじ,kanji Chinese character,n5
木,き,"tree, wood, timber",n5
黄色,きいろ,yellow,n5
黄色い,きいろい,yellow,n5
消える,きえる,"to vanish, to disappear",n5
聞く,きく,"to hear, to listen, to ask",n5
北,きた,north,n5
汚い,きたない,"dirty, unclean, filthy",n5
喫茶店,きっさてん,café,n5
